id,author_timestamp,commit_utc_offset_hours,filename,n_additions,n_deletions,author_id,total_additions,total_deletions,author_total_additions,author_total_deletions
588154,1357342512,-8,mm/memory.c,5,0,5647,8776,6854,9,4
592902,1355788883,-8,mm/memory.c,3,5,43,8776,6854,3,5
593005,1355788764,-8,mm/memory.c,1,0,1510,8776,6854,7,11
593954,1355349157,-8,mm/memory.c,1,6,4787,8776,6854,2,7
593959,1355349156,-8,mm/memory.c,0,7,4,8776,6854,1278,1781
594033,1355349059,-8,mm/memory.c,2,2,4,8776,6854,1278,1781
594041,1355349054,-8,mm/memory.c,0,7,4,8776,6854,1278,1781
594403,1355270487,-8,mm/memory.c,6,2,411,8776,6854,19,27
594676,1353460703,0,mm/memory.c,8,4,3636,8776,6854,291,245
594690,1352942672,0,mm/memory.c,34,17,3636,8776,6854,291,245
594697,1351867968,0,mm/memory.c,12,0,3636,8776,6854,291,245
594720,1351167403,2,mm/memory.c,11,2,8388,8776,6854,329,213
594733,1351856025,0,mm/memory.c,27,5,3636,8776,6854,291,245
594746,1351167391,2,mm/memory.c,107,4,3636,8776,6854,291,245
594749,1349465787,2,mm/memory.c,17,0,20,8776,6854,270,65
594775,1318446411,2,mm/memory.c,2,1,3636,8776,6854,291,245
607318,1353104088,-8,mm/memory.c,4,6,5,8776,6854,42,29
623792,1349739243,-7,mm/memory.c,1,1,5,8776,6854,42,29
623809,1349739223,-7,mm/memory.c,1,1,1491,8776,6854,1,1
623818,1349739215,-7,mm/memory.c,12,6,4391,8776,6854,12,6
623824,1349739213,-7,mm/memory.c,18,9,4082,8776,6854,18,9
623836,1349739199,-7,mm/memory.c,5,5,25,8776,6854,143,139
624009,1349739085,-7,mm/memory.c,4,4,9015,8776,6854,144,113
624193,1349738942,-7,mm/memory.c,5,6,9710,8776,6854,55,51
624242,1349738920,-7,mm/memory.c,12,2,9710,8776,6854,55,51
624251,1349738914,-7,mm/memory.c,10,16,9710,8776,6854,55,51
624254,1349738909,-7,mm/memory.c,5,7,11174,8776,6854,5,7
650666,1343778380,-7,mm/memory.c,1,1,3636,8776,6854,291,245
650828,1343778198,-7,mm/memory.c,1,1,9927,8776,6854,1,1
650919,1343778123,-7,mm/memory.c,4,2,235,8776,6854,87,35
652059,1339510828,2,mm/memory.c,7,7,389,8776,6854,591,590
665136,1340845341,8,mm/memory.c,9,0,10115,8776,6854,9,0
666915,1340221982,-7,mm/memory.c,1,1,10934,8776,6854,1,1
666924,1340221980,-7,mm/memory.c,9,1,5,8776,6854,42,29
674949,1338329183,-7,mm/memory.c,15,3,5,8776,6854,42,29
674967,1338329178,-7,mm/memory.c,1,1,2413,8776,6854,145,37
687000,1336337646,-7,mm/memory.c,5,11,92,8776,6854,265,123
687003,1336336995,-7,mm/memory.c,9,9,92,8776,6854,265,123
694404,1334140527,5,mm/memory.c,3,0,2483,8776,6854,3,0
703105,1332540171,-7,mm/memory.c,1,7,11797,8776,6854,1,7
703964,1332372853,-7,mm/memory.c,2,7,5,8776,6854,42,29
703968,1332372853,-7,mm/memory.c,9,9,5,8776,6854,42,29
704057,1332372829,-7,mm/memory.c,0,18,9710,8776,6854,55,51
704078,1332372822,-7,mm/memory.c,12,4,20,8776,6854,270,65
704510,1330974860,-5,mm/memory.c,73,39,1107,8776,6854,87,61
704512,1330972875,-5,mm/memory.c,1,5,1107,8776,6854,87,61
704516,1330972689,-5,mm/memory.c,2,3,1107,8776,6854,87,61
704517,1330972549,-5,mm/memory.c,2,2,1107,8776,6854,87,61
704518,1330971909,-5,mm/memory.c,6,9,1107,8776,6854,87,61
705012,1322234079,8,mm/memory.c,2,2,9717,8776,6854,2,2
726020,1327098864,-8,mm/memory.c,28,9,9710,8776,6854,55,51
728061,1326417556,-8,mm/memory.c,2,2,12473,8776,6854,4,3
754786,1320266219,-7,mm/memory.c,1,1,20,8776,6854,270,65
758183,1318744912,-4,mm/memory.c,1,1,83,8776,6854,1,1
788602,1311639152,-7,mm/memory.c,56,1,435,8776,6854,83,26
788606,1311639147,-7,mm/memory.c,34,22,11354,8776,6854,215,118
788632,1311639136,-7,mm/memory.c,0,11,1510,8776,6854,7,11
795178,1310164781,-7,mm/memory.c,1,0,12473,8776,6854,4,3
801796,1309216681,-7,mm/memory.c,0,24,25,8776,6854,143,139
804369,1308175703,-7,mm/memory.c,4,2,18,8776,6854,4,2
804393,1308175689,-7,mm/memory.c,1,1,13276,8776,6854,2,2
809380,1306452338,-7,mm/memory.c,2,0,9471,8776,6854,11,5
809711,1306404979,9,mm/memory.c,1,1,9069,8776,6854,20,7
810418,1306282334,-7,mm/memory.c,121,2,8388,8776,6854,329,213
810444,1306282326,-7,mm/memory.c,2,2,8388,8776,6854,329,213
810453,1306282324,-7,mm/memory.c,29,165,8388,8776,6854,329,213
810460,1306282321,-7,mm/memory.c,1,1,8388,8776,6854,329,213
810470,1306282320,-7,mm/memory.c,77,0,8388,8776,6854,329,213
810514,1306282305,-7,mm/memory.c,22,24,8388,8776,6854,329,213
810518,1306282304,-7,mm/memory.c,1,1,5647,8776,6854,9,4
818679,1304938869,2,mm/memory.c,7,9,9085,8776,6854,7,9
819721,1304569828,-7,mm/memory.c,3,4,92,8776,6854,265,123
821935,1303943216,-7,mm/memory.c,1,1,3636,8776,6854,291,245
825034,1302819730,-7,mm/memory.c,1,1,6532,8776,6854,1,1
825843,1302642951,-7,mm/memory.c,18,8,92,8776,6854,265,123
832209,1301171221,-7,mm/memory.c,1,1,13276,8776,6854,2,2
833207,1300923739,-7,mm/memory.c,1,1,11354,8776,6854,215,118
833400,1300045760,-4,mm/memory.c,16,0,13535,8776,6854,56,21
833401,1300045759,-4,mm/memory.c,25,10,13535,8776,6854,56,21
833402,1300045758,-4,mm/memory.c,11,7,13535,8776,6854,56,21
833410,1300045757,-4,mm/memory.c,1,1,13535,8776,6854,56,21
833418,1300045756,-4,mm/memory.c,1,1,13535,8776,6854,56,21
833427,1300045755,-4,mm/memory.c,2,2,13535,8776,6854,56,21
834319,1300836651,-7,mm/memory.c,4,1,9204,8776,6854,4,1
836432,1296357348,8,mm/memory.c,10,3,8,8776,6854,60,3
836437,1296357347,8,mm/memory.c,50,0,8,8776,6854,60,3
845766,1298465387,1,mm/memory.c,2,0,6128,8776,6854,4,2
848906,1297313788,9,mm/memory.c,3,3,10876,8776,6854,3,3
849909,1297378893,-8,mm/memory.c,0,6,9015,8776,6854,144,113
849910,1297378892,-8,mm/memory.c,12,14,9015,8776,6854,144,113
858425,1294962435,-8,mm/memory.c,4,2,20,8776,6854,270,65
858501,1294962415,-8,mm/memory.c,5,0,20,8776,6854,270,65
858506,1294962414,-8,mm/memory.c,6,1,20,8776,6854,270,65
858509,1294962412,-8,mm/memory.c,1,1,25,8776,6854,143,139
858521,1294962412,-8,mm/memory.c,63,21,20,8776,6854,270,65
858533,1294962407,-8,mm/memory.c,71,0,20,8776,6854,270,65
858557,1294962403,-8,mm/memory.c,13,6,20,8776,6854,270,65
858572,1294962397,-8,mm/memory.c,0,13,20,8776,6854,270,65
858611,1294962374,-8,mm/memory.c,18,5,9015,8776,6854,144,113
858616,1294962371,-8,mm/memory.c,22,0,9015,8776,6854,144,113
858619,1294962369,-8,mm/memory.c,6,1,9015,8776,6854,144,113
858621,1294962368,-8,mm/memory.c,37,34,9015,8776,6854,144,113
858622,1294962367,-8,mm/memory.c,5,6,9015,8776,6854,144,113
883060,1288128147,-7,mm/memory.c,1,1,13116,8776,6854,1,1
883116,1288128120,-7,mm/memory.c,12,1,11633,8776,6854,14,2
883117,1288128120,-7,mm/memory.c,1,0,11633,8776,6854,14,2
