,Unnamed: 0,author_timestamp,commit_utc_offset_hours,filename,n_additions,n_deletions,author_id
687003,687003,1336336995,-7,mm/memory.c,9,9,92
694404,694404,1334140527,5,mm/memory.c,3,0,2483
703105,703105,1332540171,-7,mm/memory.c,1,7,11797
703964,703964,1332372853,-7,mm/memory.c,2,7,5
703968,703968,1332372853,-7,mm/memory.c,9,9,5
704057,704057,1332372829,-7,mm/memory.c,0,18,9710
704078,704078,1332372822,-7,mm/memory.c,12,4,20
704510,704510,1330974860,-5,mm/memory.c,73,39,1107
704512,704512,1330972875,-5,mm/memory.c,1,5,1107
704516,704516,1330972689,-5,mm/memory.c,2,3,1107
704517,704517,1330972549,-5,mm/memory.c,2,2,1107
704518,704518,1330971909,-5,mm/memory.c,6,9,1107
705012,705012,1322234079,8,mm/memory.c,2,2,9717
726020,726020,1327098864,-8,mm/memory.c,28,9,9710
728061,728061,1326417556,-8,mm/memory.c,2,2,12473
754786,754786,1320266219,-7,mm/memory.c,1,1,20
758183,758183,1318744912,-4,mm/memory.c,1,1,83
788602,788602,1311639152,-7,mm/memory.c,56,1,435
788606,788606,1311639147,-7,mm/memory.c,34,22,11354
788632,788632,1311639136,-7,mm/memory.c,0,11,1510
795178,795178,1310164781,-7,mm/memory.c,1,0,12473
801796,801796,1309216681,-7,mm/memory.c,0,24,25
804369,804369,1308175703,-7,mm/memory.c,4,2,18
804393,804393,1308175689,-7,mm/memory.c,1,1,13276
809380,809380,1306452338,-7,mm/memory.c,2,0,9471
809711,809711,1306404979,9,mm/memory.c,1,1,9069
810418,810418,1306282334,-7,mm/memory.c,121,2,8388
810444,810444,1306282326,-7,mm/memory.c,2,2,8388
810453,810453,1306282324,-7,mm/memory.c,29,165,8388
810460,810460,1306282321,-7,mm/memory.c,1,1,8388
810470,810470,1306282320,-7,mm/memory.c,77,0,8388
810514,810514,1306282305,-7,mm/memory.c,22,24,8388
810518,810518,1306282304,-7,mm/memory.c,1,1,5647
818679,818679,1304938869,2,mm/memory.c,7,9,9085
819721,819721,1304569828,-7,mm/memory.c,3,4,92
821935,821935,1303943216,-7,mm/memory.c,1,1,3636
825034,825034,1302819730,-7,mm/memory.c,1,1,6532
825843,825843,1302642951,-7,mm/memory.c,18,8,92
832209,832209,1301171221,-7,mm/memory.c,1,1,13276
833207,833207,1300923739,-7,mm/memory.c,1,1,11354
833400,833400,1300045760,-4,mm/memory.c,16,0,13535
833401,833401,1300045759,-4,mm/memory.c,25,10,13535
833402,833402,1300045758,-4,mm/memory.c,11,7,13535
833410,833410,1300045757,-4,mm/memory.c,1,1,13535
833418,833418,1300045756,-4,mm/memory.c,1,1,13535
833427,833427,1300045755,-4,mm/memory.c,2,2,13535
834319,834319,1300836651,-7,mm/memory.c,4,1,9204
836432,836432,1296357348,8,mm/memory.c,10,3,8
836437,836437,1296357347,8,mm/memory.c,50,0,8
845766,845766,1298465387,1,mm/memory.c,2,0,6128
848906,848906,1297313788,9,mm/memory.c,3,3,10876
849909,849909,1297378893,-8,mm/memory.c,0,6,9015
849910,849910,1297378892,-8,mm/memory.c,12,14,9015
858425,858425,1294962435,-8,mm/memory.c,4,2,20
858501,858501,1294962415,-8,mm/memory.c,5,0,20
858506,858506,1294962414,-8,mm/memory.c,6,1,20
858509,858509,1294962412,-8,mm/memory.c,1,1,25
858521,858521,1294962412,-8,mm/memory.c,63,21,20
858533,858533,1294962407,-8,mm/memory.c,71,0,20
858557,858557,1294962403,-8,mm/memory.c,13,6,20
858572,858572,1294962397,-8,mm/memory.c,0,13,20
858611,858611,1294962374,-8,mm/memory.c,18,5,9015
858616,858616,1294962371,-8,mm/memory.c,22,0,9015
858619,858619,1294962369,-8,mm/memory.c,6,1,9015
858621,858621,1294962368,-8,mm/memory.c,37,34,9015
858622,858622,1294962367,-8,mm/memory.c,5,6,9015
883060,883060,1288128147,-7,mm/memory.c,1,1,13116
883116,883116,1288128120,-7,mm/memory.c,12,1,11633
883117,883117,1288128120,-7,mm/memory.c,1,0,11633
883119,883119,1288128119,-7,mm/memory.c,1,1,11633
